sn1997ef-19971126-z-bl.flm      -14.150000      -36766.617       7904.7832
sn1997ef-19971128-z-bl.flm      -12.150000      -25436.873       2280.9351
sn1997ef-19971129-z-bl.flm      -11.150000      -24322.863       1503.9600
sn1997ef-19971130-z-bl.flm      -10.150000      -23434.797       1993.9524
sn1997ef-19971201-z-bl.flm      -9.1500000      -24515.838       2574.5952
sn1997ef-19971204-z-bl.flm      -6.1500000      -18364.113       2589.3423
sn1997ef-19971205-mmt-z-bl.flm      -5.1500000      -19482.221       2772.9971
sn1997ef-19971205-z-bl.flm      -5.1500000      -19612.340       1673.1670
sn1997ef-19971206-z-bl.flm      -4.1500000      -17061.354       3350.8140
sn1997ef-19971223-z-bl.flm       12.850000      -13152.702       1239.7522
sn1997ef-19971224-z-bl.flm       13.850000      -12085.854       797.07416
sn1997ef-19971226-z-bl.flm       15.850000      -12567.544       2274.5356
sn1997ef-19971227-z-bl.flm       16.850000      -12757.945       3641.3621
sn1997ef-19971229-z-bl.flm       18.850000      -12830.921       1121.6467
sn1997ef-19971230-z-bl.flm       19.850000      -11698.549       3879.4639
sn1997ef-19980101-z-bl.flm       21.850000      -12633.041       1219.2616
sn1997ef-19980103_fast_Ic-z-bl.flm       23.850000      -13376.460       2713.1003
sn1997ef-19980106-z-bl.flm       26.850000      -11428.049       5549.8848
sn1997ef-19980120_fast_Ic-z-bl.flm       40.850000      -14289.914       7695.3569
sn1997ef-19980124_fast_Ic-z-bl.flm       44.850000      -6662.6968       3272.3608
sn1997ef-19980126-mmt-z-bl.flm       46.850000      -5347.6816       1389.1923
sn1997ef-19980128-mmt-z-bl.flm       48.850000      -6302.2109       1466.5188
